"mp_identifier";"mention_id";"relation";"description";"pos";"term_id";"dep_rel";"constituent_head";"docid";"gender_pron";"gender_api";"alias";"fullname";"ne_identifier"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_712";"property";"verslag";"noun";"t_715";"head";"t_712";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_712";"property";"werk";"noun";"t_728";"constituent";"t_712";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_712";"property";"zingeving";"noun";"t_726";"constituent";"t_712";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_712";"property";"zoek_tocht";"noun";"t_724";"head";"t_712";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_759";"agent";"groot";"adj";"t_765";"constituent";"t_764";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_759";"agent";"niet";"adv";"t_763";"hd/mod";"t_763";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_759";"agent";"sentiment";"noun";"t_766";"constituent";"t_764";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_759";"agent";"toch";"adv";"t_758";"hd/mod";"t_758";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_759";"agent";"zijn";"verb";"t_759";"head";"t_759";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_759";"agent";"zonder";"prep";"t_764";"hd/mod";"t_764";"coreferenced_a1111111";"female";NA;NA;NA;NA
